"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"21:22:37.658, 24 Nov 2020","0.0","0.0","67,108,896","33,894,056","53,035,008","50,992,520","10,794","1,159","32","28"
"21:22:38.646, 24 Nov 2020","0.0","0.0","67,108,896","33,894,056","53,035,008","50,992,520","10,794","1,159","32","28"
"21:22:39.647, 24 Nov 2020","0.0","0.0","67,108,896","33,894,056","53,035,008","50,992,520","10,794","1,159","32","28"
"21:22:40.648, 24 Nov 2020","0.0","0.0","67,108,896","33,894,056","53,035,008","50,992,520","10,794","1,159","32","28"
"21:22:41.664, 24 Nov 2020","0.0","0.0","67,108,896","33,894,056","53,035,008","50,992,520","10,794","1,159","32","28"
"21:22:42.652, 24 Nov 2020","0.1","0.0","67,108,896","34,942,632","53,035,008","50,992,520","10,794","1,159","32","28"
"21:22:43.653, 24 Nov 2020","0.0","0.0","67,108,896","34,942,632","53,035,008","50,992,520","10,794","1,159","32","28"
"21:22:44.654, 24 Nov 2020","0.5","0.0","67,108,896","34,942,632","53,035,008","50,992,520","10,794","1,159","32","28"
"21:22:45.654, 24 Nov 2020","0.0","0.0","67,108,896","34,942,632","53,035,008","50,992,520","10,794","1,159","32","28"
"21:22:46.654, 24 Nov 2020","0.0","0.0","67,108,896","35,991,208","53,035,008","50,992,520","10,794","1,159","32","28"
"21:22:47.656, 24 Nov 2020","0.3","0.0","67,108,896","35,991,208","53,035,008","50,992,520","10,794","1,159","32","28"
"21:22:48.656, 24 Nov 2020","0.0","0.0","67,108,896","35,991,208","53,035,008","50,992,520","10,794","1,159","32","28"
"21:22:49.657, 24 Nov 2020","0.5","0.0","67,108,896","35,991,208","53,035,008","50,992,520","10,794","1,159","32","28"
"21:22:50.657, 24 Nov 2020","0.8","0.0","67,108,896","37,039,784","53,035,008","50,992,520","10,797","1,159","32","28"
"21:22:51.657, 24 Nov 2020","0.9","0.0","67,108,896","37,039,784","53,035,008","50,992,520","10,797","1,159","32","28"
"21:22:52.659, 24 Nov 2020","0.8","0.0","67,108,896","38,088,360","53,035,008","50,992,520","10,797","1,159","32","28"
"21:22:53.662, 24 Nov 2020","0.9","0.0","67,108,896","38,088,360","53,035,008","50,992,520","10,797","1,159","32","28"
"21:22:54.662, 24 Nov 2020","0.0","0.0","67,108,896","39,136,936","53,035,008","50,992,520","10,797","1,159","32","28"
"21:22:55.663, 24 Nov 2020","0.1","0.0","67,108,896","39,136,936","53,035,008","50,992,520","10,798","1,159","32","28"
"21:22:56.663, 24 Nov 2020","0.8","0.0","67,108,896","39,136,936","53,035,008","50,992,520","10,798","1,159","32","28"
"21:22:57.663, 24 Nov 2020","0.3","0.0","67,108,896","39,136,936","53,035,008","50,992,520","10,798","1,159","32","28"
"21:22:58.667, 24 Nov 2020","0.3","0.0","67,108,896","40,185,512","53,035,008","50,992,520","10,803","1,159","32","28"
"21:22:59.667, 24 Nov 2020","0.1","0.0","67,108,896","40,185,512","53,035,008","50,992,520","10,803","1,159","32","28"
"21:23:00.670, 24 Nov 2020","0.0","0.0","67,108,896","41,234,088","53,035,008","50,992,520","10,803","1,159","32","28"
"21:23:01.675, 24 Nov 2020","0.1","0.0","67,108,896","41,234,088","53,035,008","50,992,520","10,804","1,159","32","28"
